percentage_diabetes,per_capita_spend
0.091520824,23.33366707
0.091520824,24.06417915
0.091520824,25.06530266
0.091520824,21.02627178
0.091520824,24.4295506
0.091520824,24.42123968
0.091520824,24.14790431
0.091520824,24.56206053
0.091520824,26.14997554
0.091520824,24.23358606
0.091520824,23.6694971
0.091520824,25.8716203
0.077402338,16.6930218
0.077402338,17.3992909
0.077402338,18.00832561
0.077402338,15.59751441
0.077402338,17.73565209
0.077402338,17.28174267
0.077402338,17.1627537
0.077402338,17.18097344
0.077402338,18.54239288
0.077402338,16.38716299
0.077402338,17.35359622
0.077402338,18.55441431
0.075260682,23.07940447
0.075171923,23.19282569
0.075171923,24.02493496
0.075171923,23.71735853
0.075171923,24.26161704
0.075135894,21.07923859
0.075135894,23.34147134
0.075135894,23.82387174
0.075135894,23.33892703
0.075135894,23.85843295
0.075135894,24.81202614
0.075135894,23.04210766
0.074979239,19.19059498
0.074979239,18.33972312
0.074979239,20.18470959
0.074979239,16.68335222
0.074979239,18.89766645
0.074979239,19.31367933
0.074979239,18.92482164
0.074979239,19.18470316
0.074979239,19.74542305
0.074979239,18.90324533
0.074979239,19.41247907
0.074979239,19.35475596
0.073992142,19.84852679
0.073992142,19.31526448
0.073992142,21.05458469
0.073992142,18.90269345
0.073992142,20.67208807
0.073992142,20.89360051
0.073992142,20.73702313
0.073992142,21.16430804
0.073992142,20.93176136
0.073992142,20.09958807
0.073992142,20.85409294
0.073992142,22.37977881
0.072986216,17.42325169
0.072986216,16.78451855
0.072986216,18.03703623
0.072986216,16.39269116
0.072986216,18.05152125
0.072986216,18.35689555
0.072986216,17.43163569
0.072986216,18.52521394
0.072986216,18.71466361
0.072986216,17.42490852
0.072986216,18.04979882
0.072986216,18.19472483
0.071367929,21.05444433
0.071367929,21.20946885
0.071367929,22.08042888
0.071367929,21.64133674
0.071367929,22.24296567
0.071367929,22.71864865
0.071367929,22.3893238
0.071367929,22.77789941
0.071367929,23.54169884
0.071367929,21.24202233
0.071367929,22.49917562
0.071367929,23.755012
0.07133689,19.81328111
0.07133689,19.50301498
0.07133689,19.97519053
0.07133689,18.24033865
0.07133689,19.8198748
0.07133689,20.50778135
0.07133689,19.45513443
0.07133689,20.59882808
0.07133689,21.05087227
0.07133689,18.80623589
0.07133689,20.4054765
0.07133689,20.70537662
0.071136942,16.74302667
0.071136942,17.50202735
0.071136942,18.95049122
0.071136942,17.57512829
0.071136942,17.36324949
0.071136942,18.55052836
0.071136942,17.50410365
0.071136942,18.09204929
0.071136942,18.53689737
0.071136942,16.99446489
0.071136942,17.73729068
0.071136942,19.45063639
0.070341026,21.26015232
0.070341026,20.30354494
0.070341026,21.25517637
0.070341026,19.33560176
0.070341026,21.13729031
0.070341026,21.40232288
0.070341026,21.2820944
0.070341026,20.58959415
0.070341026,21.83081421
0.070341026,20.0121415
0.070341026,20.85468734
0.070341026,21.12990079
0.070109887,20.32232592
0.070109887,18.73228107
0.070109887,21.1401098
0.070109887,17.70350027
0.070109887,20.30482793
0.070109887,19.74338444
0.070109887,19.58870715
0.070109887,19.26811194
0.070109887,20.0673835
0.070109887,19.49923139
0.070109887,19.54639997
0.070109887,19.98738283
0.069266423,16.64121241
0.069266423,15.55105392
